Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Toyota,2017,HiAce,USED Dealer ad,2017 Toyota HiAce,USED,Automatic,-,Other,-,-,136296,Silver / Grey,"Lidcombe, NSW",-,,,,38999
Toyota,2016,HiAce,Commercial,2016 Toyota HiAce LWB,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,8 L / 100 km,229829,White / Grey,"Lidcombe, NSW",4 cyl,Commercial, 4 Doors, 2 Seats,27995
Volkswagen,2012,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.2 L / 100 km,55676,White / Black,"Five Dock, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,14999
BMW,2014,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6 L / 100 km,82624,Black / Black,"Haberfield, NSW",4 cyl,SUV, 4 Doors, 5 Seats,24985
Mitsubishi,2013,Outlander,Exclusive Autohaus,2013 Mitsubishi Outlander ES,USED,Manual,-,Other,-,-,120020,Blue / Grey,"Blacktown, NSW",-,Wagon,,,13999
BMW,2011,118D,Hatchback,2011 BMW 118D,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,5.4 L / 100 km,95204,Silver / -,"Five Dock, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,13999
Ford,2014,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.4 L / 100 km,76289,White / Black,"Cabramatta, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,12400
Mitsubishi,2012,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.5 L / 100 km,219681,Black / Black,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 7 Seats,13999
Ford,2013,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.1 L / 100 km,98079,Blue / Black,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,11999
Volkswagen,2023,Amarok,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,"6 cyl, 3 L",AWD,Diesel,8.4 L / 100 km,15,White / Black,"Blacktown, NSW",6 cyl,Ute / Tray, 4 Doors, 5 Seats,83887
Honda,2018,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8 L / 100 km,43274,Silver / Black,"Castle Hill, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19900
Subaru,2012,Outback,SUV,2012 Subaru Outback 2.5I,USED,Automatic,"4 cyl, 2.5 L",AWD,Premium,8.4 L / 100 km,105672,Black / -,"Glebe, NSW",4 cyl,SUV, 4 Doors, 5 Seats,17990
Mitsubishi,2018,Mirage,Hatchback,2018 Mitsubishi Mirage ES,USED,Automatic,"3 cyl, 1.2 L",Front,Unleaded,4.7 L / 100 km,36836,Black / -,"Camden, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,14995
Toyota,2005,Camry,Sedan,2005 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,9.8 L / 100 km,115821,Silver / Grey,"Lansvale, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,8499
BMW,2013,3,USED Dealer ad,2013 BMW 3 Series 28i,USED,Automatic,-,Other,Unleaded,-,143119,Black / -,"Rouse Hill, NSW",-,,,,21999
Hyundai,2011,I45,Sedan,2011 Hyundai I45 Active,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.9 L / 100 km,189711,Silver / Black,"Croydon, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,12990
Ford,2015,Territory,SUV,2015 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2 L / 100 km,173786,Blue / Black,"Blacktown, NSW",6 cyl,SUV, 4 Doors, 7 Seats,16999
Nissan,2018,Qashqai,SUV,2018 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,114301,Blue / -,"Pendle Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,21950
Volkswagen,2013,Golf,Hatchback,2013 Volkswagen Golf GTI,USED,Manual,"4 cyl, 2 L",Front,Premium,6.6 L / 100 km,69197,Black / Black,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,24880
Volkswagen,2023,T-Cross,NEW In stock,2023 Volkswagen T-Cross 85TSI DSG FWD Life,NEW,Automatic,-,Front,Premium,-,15,White / Black,"Blacktown, NSW",-,Wagon,,,35887
Hyundai,2015,Tucson,SUV,2015 Hyundai Tucson Active (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,94377,Grey / -,"Mcgraths Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,23888
Ford,2016,Focus,Hatchback,2016 Ford Focus Trend,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.2 L / 100 km,94965,White / Black,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,16999
Nissan,2019,X-Trail,SUV,2019 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,99294,Grey / -,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 7 Seats,24490
Toyota,2021,Corolla,Hatchback,2021 Toyota Corolla ZR Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,13694,Black / -,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,44878
Toyota,2007,Yaris,Sedan,2007 Toyota Yaris YRS,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.7 L / 100 km,264691,Silver / -,"Lansvale, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,7949
Jeep,2012,Grand,Mr Car,2012 Jeep Grand Cherokee WK Laredo Wagon 4dr Spts Auto 5sp 4x4 3.6i,USED,Automatic,-,Other,Unleaded,-,224839,Red / -,"Rouse Hill, NSW",-,Wagon,,,13999
Toyota,2010,Corolla,Hatchback,2010 Toyota Corolla Conquest,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,7.7 L / 100 km,238270,Grey / -,"Smithfield, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,8800
Toyota,2009,HiAce,Nippon Motors,2009 Toyota HiAce (No Badge),USED,Automatic,-,Rear,Unleaded,-,76259,White / Black,"Ingleburn, NSW",-,Commercial,,,32900
Jeep,2015,Patriot,SUV,2015 Jeep Patriot Limited (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9.1 L / 100 km,140964,Black / -,"Seven Hills, NSW",4 cyl,SUV, 4 Doors, 5 Seats,13990
Toyota,2003,HiAce,Commercial,2003 Toyota HiAce,USED,Automatic,"4 cyl, 2.4 L",Rear,Unleaded,0 L / 100 km,266848,White / Grey,"Five Dock, NSW",4 cyl,Commercial, 4 Doors, 3 Seats,9999
Volvo,2013,S60,Sedan,2013 Volvo S60 T4 Teknik,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.4 L / 100 km,141000,Blue / -,"Blacktown, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,14999
Mitsubishi,2016,Triton,Ute / Tray,2016 Mitsubishi Triton GLX Plus (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6 L / 100 km,240402,White / -,"Haberfield, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,22750
Mercedes-Benz,2010,E250,Coupe,2010 Mercedes-Benz E250 CGI Elegance,USED,Automatic,"4 cyl, 1.8 L",Rear,Premium,7.9 L / 100 km,101126,Black / Tobacco,"Glebe, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,21950
Mercedes-Benz,2013,A250,Hatchback,2013 Mercedes-Benz A250 Sport,USED,Automatic,"4 cyl, 2 L",Front,Premium,6.6 L / 100 km,117254,White / -,"Five Dock, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19999
Toyota,2012,86,Coupe,2012 Toyota 86 GT,USED,Manual,"4 cyl, 2 L",Rear,Premium,7.8 L / 100 km,178747,Silver / Black,"Granville, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,19900
Mazda,2022,CX-5,SUV,2022 Mazda CX-5 Maxx Sport (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.5 L / 100 km,10579,Black / Black,"Five Dock, NSW",4 cyl,SUV, 4 Doors, 5 Seats,37990
Toyota,2010,Corolla,Hatchback,2010 Toyota Corolla Ascent,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.7 L / 100 km,167101,Red / -,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,12990
Ford,2013,Falcon,Sedan,2013 Ford Falcon XR6,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,9.9 L / 100 km,163161,Blue / Black,"Blacktown, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,16999
Abarth,2021,595,Hatchback,2021 Abarth 595 Competizione,USED,Manual,"4 cyl, 1.4 L",Front,Premium,6 L / 100 km,13200,Black / Black,"Ryde, NSW",4 cyl,Hatchback, 3 Doors, 4 Seats,36990
Honda,2014,CR-V,SUV,2014 Honda CR-V VTI-L (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,8.7 L / 100 km,103211,White / Black Cloth,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,23880
Toyota,2007,Corolla,Sedan,2007 Toyota Corolla Ultima,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,177751,Silver / -,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10990
Toyota,2016,HiAce,People Mover,2016 Toyota HiAce Commuter,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,10.9 L / 100 km,119614,Silver / Black,"Ingleburn, NSW",4 cyl,People Mover, 3 Doors, 14 Seats,44900
Hyundai,2012,I30,Hatchback,2012 Hyundai I30 Active,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9 L / 100 km,125546,Black / Black Cloth,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,15880
Mazda,2013,6,Sedan,2013 Mazda 6 Touring,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,163000,Grey / Black,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,16995
Toyota,2008,Kluger,SUV,2008 Toyota Kluger KX-S (fwd),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,11 L / 100 km,132864,Blue / Black,"Blacktown, NSW",6 cyl,SUV, 4 Doors, 7 Seats,19880
Hyundai,2018,Santa,SUV,2018 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.8 L / 100 km,71655,White / Black,"Homebush, NSW",4 cyl,SUV, 4 Doors, 7 Seats,43999
BMW,2012,X3,SUV,2012 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6 L / 100 km,109459,Black / -,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,18888
Holden,2016,Cascada,Convertible,2016 Holden Cascada,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.5 L / 100 km,65361,Silver / Black Leather,"Minchinbury, NSW",4 cyl,Convertible, 2 Doors, 4 Seats,24995
Mercedes-Benz,2006,ML320,SUV,2006 Mercedes-Benz ML320 CDI Luxury (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,9.6 L / 100 km,212953,Silver / -,"Five Dock, NSW",6 cyl,SUV, 4 Doors, 5 Seats,9998
Mitsubishi,2009,Lancer,Sedan,2009 Mitsubishi Lancer ES,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,163012,Red / -,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,9990
Audi,2014,A5,Coupe,2014 Audi A5 2.0 Tfsi Quattro,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.7 L / 100 km,82119,White / Black,"Blacktown, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,27380
Kia,2018,RIO,Hatchback,2018 Kia RIO GT-Line,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.4 L / 100 km,42071,Red / Black,"Homebush, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,24999
Jeep,2015,Cherokee,SUV,2015 Jeep Cherokee Longitude (4X4),USED,Automatic,"6 cyl, 3.2 L",4WD,Unleaded,10 L / 100 km,85958,Red / Black Cloth,"Elderslie, NSW",6 cyl,SUV, 4 Doors, 5 Seats,17999
Volkswagen,2011,Tiguan,SUV,2011 Volkswagen Tiguan 132 TSI (4X4),USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.8 L / 100 km,118642,Black / -,"Lidcombe, NSW",4 cyl,SUV, 4 Doors, 5 Seats,12990
Mitsubishi,2012,ASX,SUV,2012 Mitsubishi ASX (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,187265,Blue / -,"Campbelltown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,13990
BMW,2016,220I,Convertible,2016 BMW 220I M-Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.4 L / 100 km,118120,Grey / Black,"Caringbah, NSW",4 cyl,Convertible, 2 Doors, 4 Seats,28990
Hyundai,2022,Tucson,SUV,2022 Hyundai Tucson (FWD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.1 L / 100 km,19978,White / -,"Smithfield, NSW",4 cyl,SUV, 4 Doors, 5 Seats,36800
Mazda,2011,3,Sedan,2011 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,86804,Grey / Grey,"Lansvale, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,13999
Volkswagen,2023,Tiguan,Alto Volkswagen New Cars,2023 Volkswagen Tiguan Allspace 132TSI Life,NEW,Automatic,"4 cyl, 2 L",AWD,Premium,8.9 L / 100 km,15,Black / Storm Grey,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 7 Seats,56887
Hyundai,2014,Imax,Wagon,2014 Hyundai Imax,USED,Automatic,"4 cyl, 2.5 L",Rear,Diesel,9 L / 100 km,183550,White / Grey  Cloth,"Bankstown, NSW",4 cyl,Wagon, 4 Doors, 8 Seats,19888
Toyota,2014,Yaris,Hatchback,2014 Toyota Yaris YR,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.3 L / 100 km,191748,Green / Black,"Bankstown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,8995
Toyota,2016,Kluger,SUV,2016 Toyota Kluger Grande (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10.4 L / 100 km,139637,Grey / Black,"Five Dock, NSW",6 cyl,SUV, 4 Doors, 7 Seats,31900
Mitsubishi,2013,Lancer,Sedan,2013 Mitsubishi Lancer LX,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,165306,Grey / Black,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,14995
Subaru,2016,XV,SUV,2016 Subaru XV 2.0I-L,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,104887,Grey / Black,"North Narrabeen, NSW",4 cyl,SUV, 4 Doors, 5 Seats,22990
Mini,2017,Cooper,Hatchback,2017 Mini Cooper S 5D Hatch,USED,Automatic,"4 cyl, 2 L",Front,Premium,5.5 L / 100 km,72501,Yellow / -,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,31990
Peugeot,2015,308,Mr Car,2015 Peugeot 308 T9 Allure Touring 5dr Spts Auto 6sp 2.0DT,USED,Automatic,-,Other,Unleaded,-,167127,White / -,"Rouse Hill, NSW",-,Hatchback,,,12999
Holden,2010,Commodore,Ute / Tray,2010 Holden Commodore SS-V,USED,Manual,"8 cyl, 6 L",Rear,Unleaded,14.5 L / 100 km,169220,Black / -,"Blacktown, NSW",8 cyl,Ute / Tray, 2 Doors, 2 Seats,25999
Hyundai,2015,I20,Hatchback,2015 Hyundai I20 Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.9 L / 100 km,111783,Silver / Grey,"Croydon, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,13990
Mazda,2018,BT-50,Ute / Tray,2018 Mazda BT-50 XTR (4X2),USED,Automatic,"5 cyl, 3.2 L",Rear,Diesel,9.3 L / 100 km,97460,White / Grey,"Haberfield, NSW",5 cyl,Ute / Tray, 4 Doors, 5 Seats,30990
Mazda,2009,3,Sedan,2009 Mazda 3 Maxx,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,178389,Black / -,"Chester Hill, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,8499
Hyundai,2011,I20,Hatchback,2011 Hyundai I20 Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.4 L / 100 km,188262,Blue / -,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10995
Honda,2015,Vezel,Top Auto Group,2015 Honda Vezel Hybrid Z,USED,Automatic,-,Other,Unleaded,-,71059,Grey / -,"Blacktown, NSW",-,Wagon,,,24888
Mazda,2010,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Unleaded,11.5 L / 100 km,152831,Black / Leather,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,11669
Jeep,2017,Renegade,SUV,2017 Jeep Renegade Limited,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.9 L / 100 km,69218,Grey / Black,"Glebe, NSW",4 cyl,SUV, 4 Doors, 5 Seats,24950
Mazda,2013,6,Sedan,2013 Mazda 6 Sport,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,124093,White / -,"West Ryde, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,16990
Nissan,2009,Elgrand,Sydney City Traders,2009 Nissan Elgrand Highway Star,USED,Automatic,-,Rear,Unleaded,-,103090,White / Brown,"Five Dock, NSW",-,Wagon,,,19995
Kia,2013,Grand,Wagon,2013 Kia Grand Carnival SLI,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10.9 L / 100 km,98672,White / -,"Minchinbury, NSW",6 cyl,Wagon, 4 Doors, 8 Seats,13995
Mitsubishi,2015,Lancer,Sedan,2015 Mitsubishi Lancer ES Sport,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,61481,Grey / Black,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,17995
Subaru,2018,Impreza,Hatchback,2018 Subaru Impreza 2.0I (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.6 L / 100 km,61177,Grey / -,"Seven Hills, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,22990
Mazda,2014,3,Hatchback,2014 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,132648,Red / Black  Cloth,"Granville, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,16999
BMW,2021,X4,SUV,2021 BMW X4 Xdrive20I M Sport,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.3 L / 100 km,31367,Grey / -,"Sylvania, NSW",4 cyl,SUV, 5 Doors, 5 Seats,79988
Mazda,2010,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Unleaded,11.5 L / 100 km,174818,Red / -,"Kirrawee, NSW",4 cyl,SUV, 4 Doors, 5 Seats,12800
Audi,2015,A5,Coupe,2015 Audi A5 2.0 Tfsi Quattro,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.7 L / 100 km,115334,Grey / Black,"Blacktown, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,26880
BMW,2014,118I,Hatchback,2014 BMW 118I,USED,Automatic,"4 cyl, 1.6 L",Rear,Premium,5.8 L / 100 km,57000,White / Black,"Cabramatta, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,16990
Mercedes-Benz,2012,C-CLASS,USED Dealer ad,2012 Mercedes-Benz C-CLASS W204 BlueEFFICIENCY Avantgarde Sedan 4dr 7G-TRONIC 7sp 1.8T,USED,Automatic,-,Other,Unleaded,-,162775,Black / -,"Rouse Hill, NSW",-,,,,16999
Toyota,2013,HiAce,Nippon Motors,2013 Toyota HiAce DX,USED,Automatic,-,Other,Diesel,-,191173,Silver / Black,"Ingleburn, NSW",-,Commercial,,,30900
